Name,Position,Spiele,Tore,Tore pro spiel
Gabor Kir ly,Torwart,34,0,0.00000
Andreas Schmidt,Abwehr,27,1,0.03704
Hendrik Herzog,Abwehr,26,2,0.07692
Dick van Burik,Abwehr,24,0,0.00000
Ren‚ Tretschok,Mittelfeld,32,4,0.12500
Dariusz Wosz,Mittelfeld,31,3,0.09677
Michael Hartmann,Mittelfeld,27,2,0.07407
Eyj”lfur Sverrisson,Mittelfeld,27,2,0.07407
Sixten Veit,Mittelfeld,25,4,0.16000
Kjetil-Andr‚ Rekdal,Mittelfeld,24,1,0.04167
Pal Dardai,Mittelfeld,21,1,0.04762
Andreas Neuendorf,Mittelfeld,14,3,0.21429
Ante Covic,Mittelfeld,13,0,0.00000
Sergej Mandreko,Mittelfeld,13,1,0.07692
Rob Maas,Mittelfeld,6,0,0.00000
Anthony Sanneh,Mittelfeld,5,0,0.00000
Michael Preetz,Angriff,34,23,0.67647
Andreas Thom,Angriff,28,3,0.10714
Ilija Aracic,Angriff,13,5,0.38462
Alphonse Tchami,Angriff,11,2,0.18182
Piotr Reiss,Angriff,10,1,0.10000
Bryan Roy,Angriff,7,0,0.00000
Ivica Olic,Angriff,2,0,0.00000
Christian Saba,Angriff,1,0,0.00000
Frank Rost,Torwart,28,0,0.00000
Stefan Brasas,Torwart,6,0,0.00000
Bernhard Trares,Abwehr,31,3,0.09677
Raphael Wicky,Abwehr,31,1,0.03226
Andree Wiedener,Abwehr,30,0,0.00000
Sven Benken,Abwehr,23,0,0.00000
Pawel Wojtala,Abwehr,19,1,0.05263
Victor Skripnik,Abwehr,16,0,0.00000
Mike Barten,Abwehr,2,0,0.00000
Bj”rn Schierenbeck,Abwehr,1,0,0.00000
Dieter Eilts,Mittelfeld,32,0,0.00000
Marco Bode,Mittelfeld,29,8,0.27586
Andreas Herzog,Mittelfeld,27,3,0.11111
Jurij Maximow,Mittelfeld,20,3,0.15000
Jens Todt,Mittelfeld,20,3,0.15000
Dirk Flock,Mittelfeld,18,0,0.00000
Lodewijk Roembiak,Mittelfeld,16,3,0.18750
Christoph Dabrowski,Mittelfeld,15,1,0.06667
Dieter Frey,Mittelfeld,5,1,0.20000
Christian Brand,Mittelfeld,4,0,0.00000
Danny Ftterer,Mittelfeld,1,0,0.00000
Rade Bogdanovic,Angriff,23,8,0.34783
Torsten Frings,Angriff,23,3,0.13043
Havard Flo,Angriff,16,0,0.00000
Ailton,Angriff,12,2,0.16667
Dirk Weetendorf,Angriff,7,0,0.00000
S”ren Seidel,Angriff,5,0,0.00000
Adrian Kunz,Angriff,4,0,0.00000
Andreas Hilfiker,Torwart,17,0,0.00000
Andreas K”pke,Torwart,16,0,0.00000
Darius Kampa,Torwart,1,0,0.00000
Frank Baumann,Abwehr,30,1,0.03333
Marek Nikl,Abwehr,22,1,0.04545
Markus L”sch,Abwehr,21,0,0.00000
Sven Gnther,Abwehr,19,0,0.00000
Ren‚ van Eck,Abwehr,16,0,0.00000
Helmut Rahner,Abwehr,13,0,0.00000
Markus Grasser,Abwehr,12,0,0.00000
Matthias Maucksch,Abwehr,5,0,0.00000
Armin St”rzenhofecker,Mittelfeld,32,1,0.03125
Heiko Gerber,Mittelfeld,24,2,0.08333
Michael Wiesinger,Mittelfeld,22,1,0.04545
Marc Oechler,Mittelfeld,18,1,0.05556
Henning Brger,Mittelfeld,16,0,0.00000
Andrej Polunin,Mittelfeld,16,2,0.12500
Thomas Richter,Mittelfeld,11,1,0.09091
Jochen Weigl,Mittelfeld,11,1,0.09091
Stephan T„uber,Mittelfeld,10,1,0.10000
Thomas Ziemer,Mittelfeld,10,1,0.10000
Knut Reinhardt,Mittelfeld,9,0,0.00000
Zivojin Juskic,Mittelfeld,3,0,0.00000
Ersen Martin,Mittelfeld,1,0,0.00000
Martin Molz,Mittelfeld,1,0,0.00000
Tobias Zellner,Mittelfeld,1,0,0.00000
Sasa Ciric,Angriff,28,13,0.46429
Pavel Kuka,Angriff,28,10,0.35714
Markus Kurth,Angriff,21,2,0.09524
Martin Driller,Angriff,19,1,0.05263
Niklas Skoog,Angriff,10,1,0.10000
J”rg Butt,Torwart,34,7,0.20588
Ingo Hertzsch,Abwehr,30,0,0.00000
Nico-Jan Hoogma,Abwehr,30,1,0.03333
Fabian Ernst,Abwehr,29,0,0.00000
Andrej Panadic,Abwehr,26,2,0.07692
Thomas Gravesen,Abwehr,22,3,0.13636
Stefan B”ger,Abwehr,8,0,0.00000
Pawel Wojtala,Abwehr,1,0,0.00000
Martin Groth,Mittelfeld,33,7,0.21212
Bernd Hollerbach,Mittelfeld,29,1,0.03448
Andreas Fischer,Mittelfeld,19,0,0.00000
Dimitrios Grammozis,Mittelfeld,15,0,0.00000
Christof Babatz,Mittelfeld,14,0,0.00000
Allan Jepsen,Mittelfeld,14,1,0.07143
Harald Sp”rl,Mittelfeld,11,0,0.00000
Alexander Curtianu,Mittelfeld,8,0,0.00000
Oliver Straube,Mittelfeld,6,0,0.00000
Anthony Yeboah,Angriff,34,14,0.41176
Jacek Dembinski,Angriff,31,3,0.09677
Sergej Kirjakow,Angriff,29,5,0.17241
Thomas Doll,Angriff,13,0,0.00000
